날짜,종로구,중구,용산구,성동구,광진구,동대문구,중랑구,성북구,강북구,도봉구,노원구,은평구,서대문구,마포구,양천구,강서구,구로구,금천구,영등포구,동작구,관악구,서초구,강남구,송파구,강동구
2021-10-13,1879,1922,2957,3064,3784,4043,4086,4161,2971,2869,4277,4677,2949,4060,3576,4821,4918,2384,4888,4434,5761,4500,7408,6888,4242
2021-10-12,1865,1913,2938,3052,3772,4011,4061,4132,2969,2859,4251,4650,2933,4035,3567,4797,4860,2367,4859,4421,5738,4485,7371,6858,4218
2021-10-11,1853,1908,2916,3041,3754,3992,4044,4108,2938,2852,4232,4635,2919,4023,3550,4774,4825,2356,4842,4401,5723,4476,7323,6839,4203
2021-10-10,1842,1899,2906,3026,3730,3967,4027,4087,2923,2833,4198,4616,2911,4012,3537,4758,4774,2328,4817,4387,5703,4463,7296,6815,4183
2021-10-09,1831,1892,2878,3019,3706,3938,4006,4066,2903,2821,4174,4584,2899,3994,3528,4735,4710,2305,4797,4364,5679,4456,7268,6780,4151
2021-10-08,1816,1875,2853,3005,3691,3881,3984,4031,2870,2809,4150,4553,2874,3969,3505,4708,4658,2275,4768,4331,5658,4440,7235,6740,4124
2021-10-07,1785,1864,2840,2995,3671,3843,3948,4001,2839,2787,4112,4517,2853,3935,3474,4684,4601,2250,4728,4299,5633,4418,7204,6696,4083
2021-10-06,1760,1839,2825,2985,3654,3789,3922,3965,2805,2757,4075,4478,2832,3911,3442,4649,4536,2230,4685,4277,5608,4394,7182,6644,4037
2021-10-05,1745,1824,2814,2961,3633,3761,3886,3944,2776,2735,4041,4449,2814,3889,3421,4627,4485,2214,4654,4255,5580,4380,7146,6606,4000
2021-10-04,1733,1813,2805,2946,3616,3737,3864,3926,2753,2715,4023,4425,2803,3869,3409,4606,4428,2196,4640,4233,5568,4365,7116,6581,3980
2021-10-03,1713,1794,2789,2931,3606,3705,3838,3899,2736,2699,3991,4397,2786,3845,3393,4583,4399,2181,4611,4219,5550,4347,7085,6549,3951
2021-10-02,1683,1776,2770,2910,3592,3660,3810,3876,2711,2683,3980,4370,2765,3810,3378,4565,4353,2159,4575,4197,5532,4333,7060,6513,3913
2021-10-01,1669,1758,2748,2884,3567,3602,3778,3853,2689,2648,3972,4341,2746,3778,3353,4526,4286,2130,4535,4176,5492,4311,7028,6478,3883
2021-09-30,1646,1736,2733,2862,3534,3540,3760,3811,2656,2630,3962,4308,2718,3753,3327,4492,4232,2102,4497,4149,5457,4294,6976,6419,3841
2021-09-29,1617,1709,2705,2838,3486,3487,3729,3779,2607,2605,3932,4284,2692,3727,3291,4447,4168,2064,4462,4120,5418,4284,6926,6356,3782
2021-09-28,1594,1672,2681,2814,3450,3421,3704,3738,2582,2570,3903,4237,2662,3680,3264,4406,4113,2033,4419,4092,5370,4265,6881,6288,3731
2021-09-27,1573,1649,2653,2795,3417,3365,3686,3684,2563,2542,3866,4221,2644,3663,3238,4356,4055,2017,4378,4068,5347,4249,6831,6230,3702
2021-09-26,1541,1622,2640,2776,3379,3336,3660,3659,2535,2517,3841,4182,2617,3641,3225,4327,3983,1998,4338,4040,5310,4229,6788,6176,3685
2021-09-25,1510,1598,2608,2737,3345,3279,3625,3628,2493,2492,3814,4151,2590,3611,3205,4279,3952,1959,4303,4019,5273,4194,6751,6088,3644
2021-09-24,1489,1563,2583,2695,3291,3212,3580,3578,2468,2463,3763,4114,2555,3569,3171,4218,3878,1926,4250,3983,5207,4167,6687,5977,3590
2021-09-23,1473,1540,2571,2668,3238,3174,3546,3552,2440,2446,3737,4087,2538,3537,3150,4171,3822,1913,4203,3943,5175,4144,6638,5876,3550
2021-09-22,1455,1506,2562,2648,3216,3150,3527,3527,2417,2428,3716,4071,2527,3514,3132,4133,3789,1899,4165,3924,5141,4124,6600,5823,3523
2021-09-21,1443,1497,2553,2629,3186,3127,3505,3498,2398,2409,3692,4041,2511,3490,3117,4101,3736,1874,4133,3906,5109,4110,6577,5764,3490
2021-09-20,1425,1467,2537,2612,3153,3096,3492,3450,2364,2388,3661,4020,2498,3459,3096,4073,3687,1855,4109,3888,5081,4094,6544,5719,3473
2021-09-19,1410,1455,2530,2588,3134,3072,3469,3422,2346,2375,3633,4002,2483,3434,3074,4054,3650,1837,4081,3872,5053,4071,6523,5664,3454
2021-09-18,1397,1432,2516,2573,3110,3030,3447,3392,2329,2351,3605,3978,2465,3399,3056,4028,3593,1826,4038,3855,5016,4045,6487,5596,3424
2021-09-17,1381,1408,2506,2561,3089,3002,3433,3368,2313,2327,3578,3954,2449,3382,3016,4000,3542,1816,4003,3835,4980,4024,6454,5524,3388
2021-09-16,1368,1392,2500,2548,3078,2968,3408,3353,2296,2311,3544,3925,2423,3350,2995,3966,3475,1790,3969,3817,4946,3995,6389,5460,3365
2021-09-15,1356,1372,2493,2531,3059,2944,3400,3334,2283,2294,3521,3895,2394,3304,2981,3936,3410,1773,3924,3791,4917,3971,6344,5393,3340
2021-09-14,1347,1359,2480,2520,3031,2911,3380,3310,2265,2274,3498,3857,2373,3262,2953,3906,3349,1756,3865,3762,4881,3940,6289,5312,3315
2021-09-13,1341,1344,2470,2505,3002,2893,3367,3297,2252,2261,3479,3818,2365,3246,2936,3881,3310,1741,3837,3744,4857,3916,6257,5268,3296
2021-09-12,1334,1334,2459,2477,2981,2867,3349,3273,2244,2249,3450,3794,2352,3221,2925,3862,3282,1720,3807,3721,4827,3899,6233,5228,3274
2021-09-11,1324,1323,2441,2456,2941,2846,3326,3245,2229,2234,3423,3757,2338,3210,2908,3830,3246,1710,3774,3698,4784,3878,6199,5175,3242
2021-09-10,1318,1311,2429,2441,2903,2818,3314,3225,2208,2217,3401,3720,2328,3187,2894,3809,3207,1686,3720,3674,4744,3860,6158,5121,3219
2021-09-09,1309,1306,2411,2421,2867,2797,3292,3207,2186,2209,3389,3670,2314,3157,2875,3789,3154,1663,3678,3648,4711,3841,6123,5073,3186
2021-09-08,1304,1290,2398,2401,2838,2777,3264,3189,2175,2194,3371,3646,2289,3131,2856,3768,3106,1649,3633,3627,4666,3817,6085,5021,3162
2021-09-07,1294,1278,2382,2387,2802,2757,3238,3165,2161,2181,3363,3596,2268,3112,2840,3752,3054,1630,3583,3607,4622,3793,6044,4987,3140
2021-09-06,1286,1270,2374,2379,2781,2745,3228,3150,2148,2171,3347,3572,2257,3085,2830,3731,3014,1609,3548,3587,4604,3778,6010,4952,3119
2021-09-05,1280,1260,2371,2365,2762,2733,3210,3132,2144,2159,3329,3544,2250,3076,2818,3713,2973,1598,3525,3567,4564,3761,5976,4931,3099
2021-09-04,1278,1244,2362,2343,2738,2715,3193,3117,2138,2154,3310,3512,2235,3064,2805,3686,2943,1586,3504,3551,4520,3744,5930,4904,3080
2021-09-03,1272,1232,2350,2327,2716,2697,3171,3104,2129,2148,3296,3471,2221,3048,2784,3666,2915,1568,3468,3525,4488,3717,5882,4869,3049
2021-09-02,1267,1223,2340,2314,2698,2672,3145,3091,2121,2135,3276,3436,2211,3031,2766,3650,2886,1555,3435,3490,4461,3688,5843,4832,3026
2021-09-01,1261,1213,2333,2291,2678,2650,3113,3078,2113,2128,3256,3414,2201,3014,2740,3629,2850,1535,3402,3467,4430,3668,5806,4789,3005
2021-08-31,1245,1197,2321,2275,2657,2623,3092,3065,2101,2111,3244,3381,2179,3000,2713,3602,2819,1516,3370,3444,4395,3635,5733,4741,2975
2021-08-30,1235,1191,2308,2259,2637,2611,3071,3054,2089,2104,3228,3362,2167,2988,2688,3587,2800,1502,3354,3424,4371,3605,5703,4713,2963
2021-08-29,1231,1187,2299,2252,2622,2590,3043,3042,2078,2099,3218,3339,2156,2971,2658,3563,2782,1490,3331,3402,4342,3597,5667,4687,2952
2021-08-28,1223,1182,2290,2239,2604,2564,3022,3023,2070,2093,3200,3306,2138,2960,2635,3533,2758,1475,3295,3381,4308,3576,5628,4662,2943
2021-08-27,1217,1175,2280,2220,2579,2544,3001,3001,2058,2081,3180,3271,2118,2939,2617,3509,2735,1447,3248,3360,4275,3553,5578,4638,2937
2021-08-26,1212,1166,2264,2201,2549,2526,2977,2986,2051,2073,3168,3241,2106,2917,2603,3480,2699,1436,3210,3333,4236,3536,5521,4602,2927
2021-08-25,1206,1153,2256,2188,2526,2511,2952,2969,2042,2069,3158,3203,2085,2891,2589,3459,2679,1427,3164,3311,4189,3510,5472,4570,2908
2021-08-24,1198,1152,2244,2172,2501,2499,2935,2951,2029,2057,3144,3160,2066,2860,2558,3430,2643,1414,3117,3283,4139,3477,5406,4534,2887
2021-08-23,1187,1149,2236,2163,2480,2489,2920,2939,2020,2053,3127,3143,2054,2836,2540,3410,2631,1405,3092,3263,4116,3457,5358,4509,2869
2021-08-22,1182,1140,2226,2151,2467,2477,2901,2927,2014,2044,3119,3122,2046,2816,2517,3393,2614,1394,3074,3243,4097,3434,5322,4488,2864
2021-08-21,1178,1135,2210,2143,2445,2460,2877,2904,1996,2037,3106,3090,2023,2786,2502,3379,2593,1379,3048,3227,4068,3413,5289,4461,2851
2021-08-20,1168,1135,2195,2126,2430,2449,2842,2884,1990,2034,3094,3061,1995,2756,2476,3348,2580,1374,3023,3204,4046,3388,5238,4434,2835
2021-08-19,1162,1129,2187,2106,2412,2422,2825,2861,1978,2026,3083,3024,1971,2730,2459,3312,2559,1366,3001,3189,4015,3366,5183,4400,2810
2021-08-18,1158,1110,2171,2091,2395,2409,2794,2837,1958,2020,3067,2988,1949,2699,2442,3298,2533,1358,2982,3164,3990,3346,5131,4370,2790
2021-08-17,1148,1093,2154,2081,2380,2400,2778,2828,1953,2006,3058,2958,1937,2668,2409,3278,2522,1340,2955,3144,3968,3319,5083,4339,2772
2021-08-16,1144,1085,2145,2071,2366,2387,2766,2813,1944,1997,3047,2945,1927,2641,2397,3263,2503,1337,2935,3129,3941,3305,5052,4323,2762
2021-08-15,1138,1078,2134,2061,2358,2378,2754,2796,1937,1992,3035,2930,1904,2618,2382,3246,2494,1324,2919,3105,3924,3291,5021,4298,2755
2021-08-14,1136,1071,2122,2052,2327,2360,2736,2779,1926,1988,3021,2905,1886,2595,2372,3223,2481,1313,2891,3083,3884,3269,4969,4270,2747
2021-08-13,1126,1050,2107,2045,2308,2343,2718,2762,1915,1979,3004,2883,1871,2562,2358,3205,2455,1300,2864,3067,3849,3245,4929,4238,2729
2021-08-12,1112,1042,2091,2029,2300,2330,2696,2736,1906,1969,2985,2860,1856,2528,2335,3189,2433,1287,2830,3045,3809,3228,4891,4205,2716
2021-08-11,1103,1038,2067,2014,2271,2314,2681,2721,1895,1957,2969,2844,1838,2502,2322,3169,2419,1266,2794,3020,3752,3210,4858,4179,2701
2021-08-10,1090,1024,2040,2006,2249,2292,2659,2700,1879,1941,2955,2827,1811,2471,2301,3134,2395,1255,2769,2987,3705,3166,4804,4131,2681
2021-08-09,1080,1021,2028,1999,2239,2286,2647,2685,1867,1929,2950,2811,1798,2453,2284,3121,2385,1248,2757,2976,3685,3149,4776,4091,2666
2021-08-08,1070,1017,2018,1988,2230,2276,2635,2658,1855,1925,2941,2795,1793,2443,2268,3099,2356,1239,2730,2954,3662,3130,4745,4054,2654
2021-08-07,1062,1004,2012,1973,2224,2266,2623,2644,1850,1917,2926,2782,1770,2412,2253,3080,2338,1226,2701,2931,3623,3112,4712,4023,2642
2021-08-06,1059,993,1993,1971,2213,2254,2608,2627,1836,1909,2914,2770,1745,2390,2233,3063,2304,1213,2683,2899,3589,3089,4671,3987,2620
2021-08-05,1052,989,1971,1963,2194,2237,2601,2618,1818,1903,2903,2749,1728,2366,2211,3047,2285,1203,2651,2876,3562,3070,4633,3957,2610
2021-08-04,1046,982,1943,1953,2185,2227,2593,2606,1803,1896,2885,2727,1713,2348,2197,3032,2265,1194,2622,2845,3522,3045,4612,3931,2596
2021-08-03,1034,970,1918,1936,2170,2216,2591,2594,1794,1887,2875,2718,1692,2322,2174,3009,2244,1185,2603,2830,3478,3024,4571,3900,2575
2021-08-02,1029,963,1907,1931,2159,2211,2589,2580,1790,1880,2864,2707,1686,2311,2150,2997,2230,1175,2584,2817,3462,3009,4547,3886,2552
2021-08-01,1028,958,1892,1922,2147,2206,2579,2562,1785,1878,2852,2695,1672,2302,2137,2978,2222,1160,2561,2792,3429,2992,4518,3862,2547
2021-07-31,1019,943,1876,1914,2135,2200,2569,2548,1771,1870,2831,2672,1661,2281,2128,2957,2203,1141,2534,2770,3386,2967,4488,3837,2528
2021-07-30,1014,936,1867,1900,2127,2184,2559,2534,1759,1861,2817,2651,1649,2265,2107,2948,2171,1129,2509,2741,3346,2941,4449,3804,2507
2021-07-29,1008,928,1853,1891,2107,2173,2549,2522,1746,1855,2795,2637,1629,2249,2093,2928,2151,1112,2483,2707,3310,2908,4425,3766,2483
2021-07-28,1003,917,1846,1881,2090,2163,2537,2505,1738,1847,2772,2619,1601,2237,2067,2916,2131,1106,2451,2671,3249,2872,4393,3738,2465
2021-07-27,997,908,1832,1872,2065,2152,2516,2489,1726,1839,2755,2589,1578,2214,2046,2896,2110,1087,2424,2636,3194,2853,4354,3704,2438
2021-07-26,995,906,1819,1861,2057,2145,2504,2476,1721,1829,2748,2570,1567,2196,2036,2875,2099,1072,2408,2606,3163,2845,4336,3685,2421
2021-07-25,991,899,1812,1847,2045,2137,2498,2466,1709,1825,2737,2558,1557,2185,2027,2857,2077,1061,2386,2590,3133,2832,4311,3672,2401
2021-07-24,981,892,1800,1841,2031,2129,2481,2449,1697,1817,2726,2535,1538,2154,2028,2838,2050,1051,2358,2557,3082,2805,4278,3651,2379
2021-07-23,976,885,1785,1825,2013,2120,2456,2441,1680,1804,2714,2522,1518,2133,2016,2830,2030,1038,2346,2526,3042,2784,4246,3617,2361
2021-07-22,969,874,1766,1808,1994,2108,2438,2425,1665,1798,2701,2496,1501,2109,2007,2802,2004,1022,2328,2496,3010,2752,4207,3593,2336
2021-07-21,958,871,1752,1786,1985,2090,2424,2418,1655,1780,2679,2476,1491,2094,1997,2784,1983,1011,2312,2470,2950,2723,4173,3567,2308
2021-07-20,948,867,1725,1769,1962,2082,2410,2391,1644,1766,2659,2446,1461,2067,1975,2765,1956,998,2289,2427,2889,2690,4136,3541,2293
2021-07-19,943,862,1716,1759,1947,2077,2397,2370,1638,1753,2644,2430,1455,2052,1960,2757,1934,991,2262,2399,2855,2664,4101,3527,2283
2021-07-18,934,855,1703,1746,1939,2066,2380,2351,1629,1740,2628,2415,1447,2028,1955,2740,1915,984,2237,2379,2824,2640,4070,3505,2260
2021-07-17,928,847,1684,1734,1921,2052,2364,2333,1614,1730,2602,2398,1433,2008,1947,2728,1890,967,2220,2350,2768,2606,4039,3468,2249
2021-07-16,919,841,1664,1718,1915,2038,2338,2314,1592,1718,2582,2383,1422,1981,1930,2697,1866,954,2201,2331,2706,2571,3989,3441,2236
2021-07-15,914,830,1650,1703,1899,2026,2314,2295,1571,1703,2551,2368,1411,1954,1922,2672,1842,946,2180,2298,2652,2541,3938,3407,2222
2021-07-14,906,823,1635,1683,1879,2016,2295,2285,1551,1688,2524,2351,1403,1927,1907,2651,1828,936,2154,2278,2598,2520,3892,3374,2212
2021-07-13,901,813,1611,1662,1866,2006,2269,2257,1532,1671,2500,2326,1388,1892,1882,2624,1799,926,2123,2256,2555,2482,3836,3332,2195
2021-07-12,888,808,1598,1643,1853,1996,2258,2242,1525,1664,2478,2306,1384,1872,1867,2605,1786,915,2105,2240,2527,2472,3792,3302,2182
2021-07-11,883,806,1589,1633,1831,1986,2248,2235,1513,1651,2462,2289,1378,1855,1851,2587,1769,905,2087,2221,2501,2449,3750,3267,2172
2021-07-10,879,803,1575,1601,1816,1959,2239,2220,1507,1631,2444,2275,1367,1830,1836,2571,1755,894,2066,2197,2474,2423,3689,3231,2153
2021-07-09,870,793,1560,1580,1799,1942,2231,2201,1496,1616,2421,2264,1352,1803,1819,2549,1734,883,2044,2172,2442,2396,3631,3215,2139
2021-07-08,869,788,1543,1559,1775,1919,2219,2180,1483,1591,2407,2243,1342,1783,1806,2529,1717,871,2026,2149,2419,2367,3587,3188,2114
2021-07-07,864,778,1525,1524,1753,1906,2206,2158,1468,1567,2387,2221,1329,1765,1796,2508,1700,860,2004,2126,2401,2340,3528,3162,2082
2021-07-06,853,770,1499,1499,1726,1891,2201,2137,1464,1555,2370,2196,1314,1742,1774,2475,1679,853,1967,2111,2370,2308,3461,3130,2061
2021-07-05,850,768,1483,1481,1715,1881,2189,2122,1459,1549,2347,2186,1303,1731,1763,2465,1675,846,1954,2102,2357,2289,3426,3109,2054
2021-07-04,842,760,1464,1475,1702,1865,2180,2114,1455,1543,2329,2179,1295,1717,1750,2452,1670,839,1939,2093,2339,2270,3392,3090,2050
2021-07-03,835,756,1451,1460,1693,1858,2175,2097,1444,1530,2314,2168,1284,1700,1745,2440,1667,832,1929,2085,2331,2252,3373,3070,2042
2021-07-02,830,750,1428,1451,1687,1846,2166,2083,1439,1515,2295,2152,1276,1679,1736,2423,1663,829,1908,2077,2312,2235,3320,3047,2033
2021-07-01,823,748,1411,1442,1677,1836,2162,2071,1431,1504,2279,2141,1261,1661,1729,2403,1653,827,1896,2055,2297,2215,3269,3028,2024
2021-06-30,821,747,1398,1429,1668,1823,2151,2059,1417,1497,2269,2133,1256,1640,1720,2388,1649,824,1886,2044,2284,2195,3212,3007,2006
2021-06-29,820,738,1383,1411,1650,1806,2146,2047,1405,1486,2262,2119,1250,1620,1711,2361,1641,820,1874,2032,2273,2172,3163,2990,1991
2021-06-28,818,735,1377,1407,1636,1800,2142,2037,1400,1485,2256,2111,1244,1607,1705,2350,1633,819,1867,2029,2270,2161,3128,2979,1981
2021-06-27,815,733,1370,1400,1626,1794,2138,2031,1397,1482,2249,2101,1240,1599,1693,2344,1628,814,1860,2023,2267,2155,3098,2968,1975
2021-06-26,810,731,1361,1373,1619,1790,2134,2020,1396,1481,2242,2089,1225,1588,1688,2335,1616,813,1851,2015,2263,2146,3070,2952,1968
2021-06-25,806,730,1351,1360,1606,1787,2126,2011,1391,1476,2232,2076,1215,1572,1685,2324,1609,805,1840,2007,2255,2137,3032,2939,1952
2021-06-24,802,724,1343,1347,1601,1782,2120,1995,1388,1474,2219,2062,1206,1553,1679,2320,1596,803,1820,2004,2238,2119,3001,2930,1940
2021-06-23,796,718,1334,1333,1600,1781,2116,1988,1382,1470,2208,2049,1201,1543,1675,2303,1590,801,1805,2000,2226,2103,2968,2912,1928
2021-06-22,795,716,1326,1325,1590,1773,2111,1977,1381,1464,2194,2043,1193,1537,1663,2289,1585,800,1794,1991,2205,2090,2941,2905,1917
2021-06-21,795,718,1321,1322,1585,1770,2107,1969,1376,1463,2193,2040,1192,1533,1654,2283,1583,799,1790,1988,2196,2082,2915,2897,1913
2021-06-20,794,717,1309,1305,1568,1764,2098,1960,1370,1458,2186,2031,1188,1518,1644,2276,1569,790,1774,1971,2186,2061,2867,2884,1909
2021-06-19,794,717,1309,1305,1568,1764,2098,1960,1370,1458,2186,2031,1188,1518,1644,2276,1569,790,1774,1971,2186,2061,2867,2884,1909
2021-06-18,791,716,1300,1299,1560,1758,2089,1955,1368,1456,2176,2023,1185,1511,1637,2269,1561,784,1752,1962,2182,2053,2849,2867,1907
2021-06-17,789,714,1286,1293,1553,1750,2085,1945,1366,1456,2162,2020,1184,1504,1630,2266,1556,782,1742,1954,2169,2040,2830,2851,1898
2021-06-16,788,709,1273,1287,1546,1741,2076,1937,1364,1449,2156,2018,1183,1493,1626,2260,1553,780,1736,1946,2150,2026,2800,2839,1894
2021-06-15,786,708,1262,1277,1532,1732,2070,1936,1354,1445,2155,2010,1179,1485,1623,2255,1547,777,1728,1944,2138,2010,2769,2825,1886
2021-06-14,784,706,1260,1274,1530,1724,2066,1934,1349,1442,2148,2010,1177,1481,1618,2251,1545,776,1725,1939,2134,2002,2745,2811,1875
2021-06-13,781,704,1251,1270,1522,1717,2063,1929,1347,1441,2145,2005,1175,1475,1616,2250,1543,774,1721,1937,2128,1994,2728,2804,1868
2021-06-12,780,703,1245,1266,1516,1703,2060,1925,1343,1437,2139,2000,1165,1468,1611,2249,1540,769,1715,1932,2126,1985,2701,2783,1863
2021-06-11,778,700,1238,1257,1506,1693,2056,1920,1332,1436,2128,1993,1157,1461,1602,2244,1536,765,1711,1926,2107,1973,2684,2769,1858
2021-06-10,774,692,1224,1254,1501,1683,2054,1909,1319,1434,2119,1985,1151,1454,1591,2243,1528,763,1705,1924,2097,1965,2660,2758,1848
2021-06-09,769,687,1213,1248,1495,1677,2048,1904,1313,1430,2112,1979,1143,1451,1588,2234,1522,761,1693,1913,2092,1950,2628,2744,1841
2021-06-08,768,688,1203,1243,1491,1674,2044,1902,1314,1426,2107,1968,1140,1441,1583,2229,1518,758,1677,1905,2084,1939,2602,2730,1835
2021-06-07,767,687,1194,1239,1486,1673,2040,1894,1310,1424,2102,1964,1140,1436,1577,2222,1512,754,1669,1901,2081,1930,2588,2721,1825
2021-06-06,765,686,1185,1236,1484,1668,2035,1887,1305,1423,2099,1961,1137,1432,1573,2218,1508,750,1661,1889,2066,1922,2578,2704,1815
2021-06-05,764,682,1181,1230,1481,1664,2029,1880,1302,1422,2087,1953,1131,1424,1568,2211,1506,744,1655,1876,2057,1913,2560,2687,1808
2021-06-04,762,676,1179,1223,1468,1658,2019,1864,1292,1419,2064,1945,1128,1419,1558,2209,1499,742,1640,1864,2050,1895,2538,2660,1792
2021-06-03,761,674,1174,1216,1456,1651,2012,1855,1290,1414,2056,1940,1122,1410,1554,2205,1496,737,1637,1848,2042,1889,2522,2632,1772
2021-06-02,759,673,1166,1213,1450,1644,2004,1848,1280,1408,2047,1936,1113,1397,1546,2194,1495,732,1631,1838,2035,1882,2502,2616,1755
2021-06-01,758,671,1160,1204,1442,1637,1979,1840,1267,1397,2039,1928,1105,1390,1542,2189,1493,723,1627,1827,2029,1864,2477,2599,1741
2021-05-31,758,670,1160,1202,1436,1634,1973,1827,1251,1390,2028,1923,1100,1387,1539,2183,1489,719,1624,1824,2028,1856,2457,2591,1737
2021-05-30,758,669,1158,1195,1434,1629,1961,1823,1244,1388,2020,1923,1097,1379,1534,2177,1487,711,1619,1820,2024,1853,2443,2581,1730
2021-05-29,755,669,1154,1190,1428,1622,1957,1812,1238,1383,2008,1921,1084,1374,1529,2171,1482,706,1618,1816,2019,1848,2427,2565,1724
2021-05-28,754,667,1139,1184,1418,1620,1944,1806,1234,1378,1998,1919,1076,1364,1528,2168,1477,702,1612,1813,2016,1836,2411,2537,1717
2021-05-27,752,660,1129,1177,1415,1612,1937,1801,1226,1373,1986,1910,1067,1356,1520,2159,1464,695,1602,1809,2012,1826,2397,2521,1711
2021-05-26,748,660,1123,1170,1408,1608,1924,1794,1220,1371,1975,1901,1056,1347,1516,2155,1459,693,1594,1803,2005,1809,2378,2499,1695
2021-05-25,743,656,1111,1159,1397,1607,1911,1784,1206,1363,1961,1898,1041,1342,1512,2148,1451,685,1578,1796,1996,1789,2361,2480,1679
2021-05-24,743,655,1104,1156,1397,1603,1901,1775,1202,1358,1954,1892,1036,1339,1512,2146,1445,675,1576,1793,1994,1780,2351,2466,1665
2021-05-23,742,653,1102,1149,1388,1595,1896,1771,1199,1355,1944,1889,1031,1338,1511,2144,1443,674,1571,1784,1989,1777,2339,2450,1653
2021-05-22,739,651,1097,1147,1378,1593,1890,1763,1196,1340,1934,1882,1025,1332,1510,2140,1437,668,1564,1774,1980,1774,2330,2424,1636
2021-05-21,737,646,1092,1142,1363,1586,1880,1757,1184,1350,1922,1871,1019,1322,1504,2131,1436,662,1556,1769,1976,1762,2320,2405,1624
2021-05-20,737,645,1087,1138,1354,1579,1870,1752,1176,1348,1909,1866,1015,1314,1497,2126,1433,657,1547,1765,1972,1759,2308,2384,1614
2021-05-19,734,641,1084,1133,1347,1560,1863,1738,1174,1341,1898,1859,1004,1311,1492,2113,1422,650,1535,1758,1961,1753,2283,2360,1601
2021-05-18,728,637,1081,1128,1342,1554,1853,1730,1168,1332,1889,1851,999,1300,1482,2103,1410,645,1523,1747,1952,1744,2251,2343,1588
2021-05-17,724,635,1077,1126,1333,1547,1850,1721,1155,1323,1880,1844,998,1297,1478,2098,1403,643,1515,1743,1946,1738,2235,2332,1576
2021-05-16,722,634,1075,1120,1325,1539,1842,1710,1147,1316,1866,1840,989,1291,1471,2095,1389,642,1508,1730,1939,1735,2221,2320,1558
2021-05-15,716,630,1073,1118,1317,1534,1830,1696,1139,1306,1852,1833,979,1290,1463,2088,1384,638,1497,1724,1931,1729,2192,2313,1549
2021-05-14,711,629,1066,1115,1314,1525,1813,1684,1123,1289,1833,1825,976,1283,1461,2080,1370,631,1480,1716,1918,1720,2176,2300,1543
2021-05-13,710,627,1062,1108,1313,1517,1806,1674,1104,1277,1813,1822,971,1277,1457,2072,1364,627,1472,1708,1901,1705,2165,2282,1531
2021-05-12,703,626,1056,1098,1307,1506,1792,1670,1093,1268,1793,1814,969,1268,1450,2067,1357,623,1463,1703,1892,1693,2147,2271,1515
2021-05-11,702,621,1049,1096,1302,1501,1783,1658,1084,1260,1783,1806,962,1268,1438,2060,1346,615,1451,1696,1877,1679,2127,2263,1507
2021-05-10,702,622,1045,1089,1293,1490,1774,1651,1071,1253,1773,1799,959,1265,1431,2054,1343,611,1444,1686,1874,1673,2113,2257,1502
2021-05-09,702,620,1042,1082,1286,1482,1766,1641,1067,1249,1766,1788,959,1261,1422,2050,1342,611,1444,1680,1867,1667,2100,2250,1493
2021-05-08,699,616,1041,1075,1278,1475,1762,1625,1059,1236,1750,1780,956,1252,1414,2045,1338,605,1441,1667,1864,1659,2083,2242,1488
2021-05-07,698,610,1038,1067,1274,1462,1759,1611,1044,1225,1736,1765,945,1248,1408,2034,1336,602,1436,1660,1860,1653,2045,2229,1476
2021-05-06,698,609,1035,1058,1268,1458,1752,1609,1029,1213,1729,1750,942,1247,1405,2031,1323,598,1425,1657,1849,1647,2034,2216,1470
2021-05-05,696,600,1025,1050,1259,1451,1740,1603,1021,1194,1723,1743,937,1245,1400,2024,1319,594,1415,1653,1841,1633,2015,2204,1464
2021-05-04,694,596,1016,1047,1248,1432,1729,1591,1015,1188,1712,1733,933,1233,1393,2019,1317,591,1403,1638,1831,1623,1999,2187,1456
2021-05-03,691,595,1012,1042,1238,1422,1720,1584,1005,1186,1708,1718,930,1231,1389,2012,1312,588,1398,1628,1820,1618,1982,2178,1441
2021-05-02,690,592,1008,1040,1232,1416,1713,1578,1001,1182,1695,1710,928,1226,1386,2007,1312,585,1396,1619,1818,1610,1970,2171,1438
2021-05-01,687,589,1002,1034,1231,1405,1703,1574,1000,1177,1687,1706,922,1225,1381,2000,1310,577,1390,1615,1803,1597,1951,2158,1427
2021-04-30,680,587,994,1033,1228,1391,1696,1566,997,1172,1677,1694,921,1218,1376,1991,1306,575,1376,1604,1793,1587,1939,2146,1418
2021-04-29,677,587,988,1028,1222,1385,1689,1560,989,1165,1670,1676,916,1214,1366,1986,1299,576,1366,1587,1778,1576,1917,2130,1410
2021-04-28,674,582,980,1017,1212,1361,1676,1554,983,1158,1660,1667,915,1204,1360,1980,1293,572,1359,1582,1771,1569,1898,2115,1402
2021-04-27,672,581,975,1011,1202,1347,1657,1548,980,1146,1648,1655,911,1194,1356,1972,1290,565,1349,1567,1757,1559,1870,2099,1389
2021-04-26,671,580,973,1009,1196,1338,1651,1547,980,1141,1645,1648,912,1190,1353,1966,1288,565,1346,1562,1752,1556,1855,2090,1376
2021-04-25,668,579,968,1001,1188,1333,1641,1546,976,1131,1639,1641,909,1187,1349,1963,1285,562,1338,1557,1744,1549,1843,2073,1371
2021-04-24,666,576,964,993,1182,1326,1635,1542,969,1125,1629,1635,906,1182,1342,1954,1279,556,1334,1546,1736,1541,1832,2063,1362
