,school,sex,age,address,famsize,Pstatus,Medu,Fedu,reason,guardian,traveltime,studytime,failures,paid,activities,famrel,freetime,absences,absences_grade
305,GP,F,18,U,GT3,T,2,4,reputation,other,1,2,1,yes,yes,4,4,8,3
306,GP,M,20,U,GT3,A,3,2,course,other,1,1,0,no,yes,5,5,0,1
307,GP,M,19,U,GT3,T,4,4,reputation,other,2,1,1,yes,no,4,3,38,
308,GP,M,19,R,GT3,T,3,3,reputation,father,1,2,1,no,yes,4,5,0,1
309,GP,F,19,U,LE3,T,1,1,reputation,other,1,2,1,no,yes,4,4,18,5
310,GP,F,19,U,LE3,T,1,2,home,other,1,2,1,no,yes,4,2,0,1
311,GP,F,19,U,GT3,T,2,1,other,other,3,2,0,no,no,3,4,20,5
312,GP,M,19,U,GT3,T,1,2,course,other,1,2,1,no,no,4,5,3,2
313,GP,F,19,U,LE3,T,3,2,reputation,other,2,2,1,yes,no,4,2,22,
314,GP,F,19,U,GT3,T,1,1,home,other,1,3,2,no,no,4,1,14,5
315,GP,F,19,R,GT3,T,2,3,reputation,other,1,3,1,no,no,4,1,40,
316,GP,F,18,U,GT3,T,2,1,course,mother,2,2,0,yes,yes,5,3,0,1
317,GP,F,18,U,GT3,T,4,3,course,mother,1,3,0,yes,yes,4,3,9,4
318,GP,F,17,R,GT3,T,3,4,course,father,1,3,0,yes,yes,4,3,0,1
319,GP,F,18,U,GT3,T,4,4,course,mother,1,2,0,yes,no,4,4,2,1
320,GP,F,17,U,GT3,A,4,3,course,mother,1,2,0,yes,no,5,2,23,
321,GP,F,17,U,GT3,T,2,2,course,mother,1,2,0,no,no,4,2,12,5
322,GP,F,17,R,LE3,T,2,2,course,mother,1,3,0,yes,yes,3,3,3,2
323,GP,F,17,U,GT3,T,3,1,course,father,1,3,0,no,no,3,4,1,1
324,GP,F,17,U,LE3,T,0,2,home,father,2,3,0,no,no,3,3,0,1
325,GP,M,18,U,GT3,T,4,4,course,mother,1,3,0,no,yes,4,3,3,2
326,GP,M,17,U,GT3,T,3,3,reputation,mother,1,1,0,no,yes,4,3,3,2
327,GP,M,17,R,GT3,T,2,2,course,mother,4,1,0,no,no,4,4,8,3
328,GP,F,17,U,GT3,T,4,4,course,mother,1,3,0,yes,yes,5,4,7,3
329,GP,F,17,U,GT3,T,4,4,course,mother,2,3,0,yes,no,4,3,4,2
330,GP,M,18,U,LE3,T,2,2,course,mother,1,4,0,no,yes,4,5,2,1
331,GP,F,17,R,GT3,T,2,4,course,father,1,3,0,no,no,4,4,7,3
332,GP,F,18,U,GT3,T,3,3,home,mother,1,2,0,no,yes,5,3,0,1
333,GP,F,18,U,LE3,T,2,2,home,other,1,2,0,no,yes,4,3,0,1
334,GP,F,18,R,GT3,T,2,2,course,mother,2,4,0,no,yes,4,4,0,1
335,GP,F,17,U,GT3,T,3,4,course,mother,1,3,0,no,no,4,4,16,5
336,GP,F,19,R,GT3,A,3,1,home,other,1,3,1,yes,no,5,4,12,5
337,GP,F,17,U,GT3,T,3,2,home,mother,1,2,0,yes,no,4,3,0,1
338,GP,F,18,U,LE3,T,3,3,home,mother,1,4,0,no,no,5,3,7,3
339,GP,F,17,R,GT3,A,3,2,home,mother,1,2,0,yes,no,4,3,4,2
340,GP,F,19,U,GT3,T,2,1,home,other,1,3,1,yes,yes,4,3,4,2
341,GP,M,18,U,GT3,T,4,4,home,father,1,2,1,no,yes,4,3,0,1
342,GP,M,18,U,LE3,T,3,4,home,mother,1,2,0,no,yes,4,3,11,5
343,GP,F,17,U,GT3,A,2,2,home,father,1,2,1,no,no,3,3,0,1
344,GP,F,18,U,GT3,T,2,3,course,mother,1,3,0,no,no,4,3,4,2
345,GP,F,18,U,GT3,T,3,2,other,mother,1,3,0,no,no,5,4,7,3
346,GP,M,18,R,GT3,T,4,3,course,mother,1,3,0,no,no,5,3,9,4
347,GP,M,18,U,GT3,T,4,3,course,mother,1,3,0,yes,no,5,4,0,1
348,GP,F,17,U,GT3,T,4,3,reputation,mother,1,3,0,yes,yes,4,4,0,1
349,MS,M,18,R,GT3,T,3,2,course,mother,2,1,1,no,no,2,5,10,4
350,MS,M,19,R,GT3,T,1,1,home,other,3,2,3,no,no,5,4,8,3
351,MS,M,17,U,GT3,T,3,3,course,mother,2,2,0,yes,no,4,5,2,1
352,MS,M,18,U,LE3,T,1,3,course,mother,1,1,1,no,no,4,3,7,3
353,MS,M,19,R,GT3,T,1,1,home,other,3,1,1,no,no,4,4,4,2
354,MS,M,17,R,GT3,T,4,3,home,mother,2,2,0,yes,yes,4,5,4,2
355,MS,F,18,U,GT3,T,3,3,course,father,1,2,0,no,no,5,3,0,1
356,MS,F,17,R,GT3,T,4,4,other,father,2,2,0,yes,yes,4,3,4,2
357,MS,F,17,U,LE3,A,3,2,reputation,mother,2,2,0,no,no,1,2,2,1
358,MS,M,18,U,LE3,T,1,1,home,father,2,1,0,no,no,3,3,4,2
359,MS,F,18,U,LE3,T,1,1,course,father,2,3,0,no,no,5,3,0,1
360,MS,F,18,R,LE3,A,1,4,course,mother,3,2,0,no,no,4,3,0,1
361,MS,M,18,R,LE3,T,1,1,other,mother,2,2,1,no,yes,4,4,2,1
362,MS,F,18,U,GT3,T,3,3,other,mother,2,2,0,no,no,4,3,0,1
363,MS,F,17,U,LE3,T,4,4,course,mother,1,2,0,yes,yes,2,3,0,1
364,MS,F,17,R,GT3,T,1,2,course,father,2,2,0,no,no,3,2,0,1
365,MS,M,18,R,GT3,T,1,3,course,mother,2,2,0,yes,no,3,3,4,2
366,MS,M,18,U,LE3,T,4,4,other,mother,2,3,0,yes,no,4,2,0,1
367,MS,F,17,R,GT3,T,1,1,reputation,mother,3,1,1,yes,no,5,2,0,1
368,MS,F,18,U,GT3,T,2,3,course,father,2,1,0,yes,no,5,2,0,1
369,MS,F,18,R,GT3,T,4,4,other,father,3,2,0,yes,no,3,2,10,4
370,MS,F,19,U,LE3,T,3,2,home,other,2,2,2,no,yes,3,2,4,2
371,MS,M,18,R,LE3,T,1,2,other,father,3,1,0,yes,yes,4,3,3,2
372,MS,F,17,U,GT3,T,2,2,home,mother,1,3,0,no,yes,3,4,8,3
373,MS,F,17,R,GT3,T,1,2,course,mother,1,1,0,no,yes,3,5,14,5
374,MS,F,18,R,LE3,T,4,4,reputation,mother,2,3,0,no,no,5,4,0,1
375,MS,F,18,R,GT3,T,1,1,home,mother,4,3,0,no,no,4,3,2,1
376,MS,F,20,U,GT3,T,4,2,course,other,2,3,2,yes,no,5,4,4,2
377,MS,F,18,R,LE3,T,4,4,course,mother,1,2,0,yes,yes,5,4,4,2
378,MS,F,18,U,GT3,T,3,3,home,mother,1,2,0,yes,no,4,1,0,1
379,MS,F,17,R,GT3,T,3,1,reputation,mother,1,2,0,yes,yes,4,5,17,5
380,MS,M,18,U,GT3,T,4,4,home,father,1,2,0,yes,yes,3,2,4,2
381,MS,M,18,R,GT3,T,2,1,other,mother,2,1,0,no,yes,4,4,5,2
382,MS,M,17,U,GT3,T,2,3,home,father,2,2,0,no,yes,4,4,2,1
383,MS,M,19,R,GT3,T,1,1,other,mother,2,1,1,no,no,4,3,0,1
384,MS,M,18,R,GT3,T,4,2,home,father,2,1,1,yes,no,5,4,14,5
385,MS,F,18,R,GT3,T,2,2,other,mother,2,3,0,yes,no,5,3,2,1
386,MS,F,18,R,GT3,T,4,4,reputation,mother,3,1,0,yes,yes,4,4,7,3
387,MS,F,19,R,GT3,T,2,3,course,mother,1,3,1,no,yes,5,4,0,1
388,MS,F,18,U,LE3,T,3,1,course,mother,1,2,0,yes,no,4,3,0,1
389,MS,F,18,U,GT3,T,1,1,course,mother,2,2,1,no,yes,1,1,0,1
390,MS,M,20,U,LE3,A,2,2,course,other,1,2,2,yes,no,5,5,11,5
391,MS,M,17,U,LE3,T,3,1,course,mother,2,1,0,no,no,2,4,3,2
392,MS,M,21,R,GT3,T,1,1,course,other,1,1,3,no,no,5,5,3,2
393,MS,M,18,R,LE3,T,3,2,course,mother,3,1,0,no,no,4,4,0,1
394,MS,M,19,U,LE3,T,1,1,course,father,1,1,0,no,no,3,2,5,2
